Service category,Procedure,Statewide indicator,Hospital,Number of discharges 2018,25th percentile 2018,Median 2018,"75th percentile, 2018",Number of discharges 2017,25th percentile 2017,Median 2017,75th percentile 2017,Difference in medians,Percent difference from 2017
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Salem Health Salem Hosp,903,79,149,198,877,78,144,165,5,0.035
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Salem Health West Valley Hosp,123,138,142,152,131,78,142,152,0,0
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Samaritan Albany Gen Hosp,141,196,204,210,107,192,202,208,2,0.01
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Samaritan Lebanon Comm Hosp,107,203,204,429,117,188,202,427,2,0.01
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Samaritan North Lincoln Hosp,30,200,204,461,31,188,198,202,6,0.03
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Samaritan Pacific Comm Hosp,97,200,204,429,93,188,202,202,2,0.01
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Santiam Hosp,123,148,160,165,83,144,161,161,-1,-0.006
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Sky Lakes Med Ctr,444,254,270,330,464,231,256,355,14,0.055
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Southern Coos Hosp and Hlth Ctr,19,152,163,163,14,163,170,174,-7,-0.041
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,St Alphonsus Med Ctr-Ontario,42,199,255,314,45,225,255,255,0,0
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,St Anthony Hospital,107,93,226,511,131,181,226,554,0,0
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,St Charles Med Ctr-Bend,114,224,2916,6802,154,1061,4027,10307,-1111,-0.276
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,St Charles Med Ctr-Prineville,10,24,228,2182,25,205,224,481,4,0.018
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,St Charles Med Ctr-Redmond,72,345,3672,4653,84,207,234,4080,3438,14.692
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Tuality Comm Hosp,114,170,218,348,184,170,217,231,1,0.005
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Willamette Valley Med Ctr,146,166,220,6753,119,161,258,7176,-38,-0.147
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,1,Statewide,5777,485,639,1714,5888,410,603,1610,36,0.06
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Adventist Med Ctr,102,531,940,2146,77,510,669,3130,271,0.405
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Adventist Tillamook Reg Med Ctr,24,609,695,1914,21,516,695,1450,0,0
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Asante Rogue Valley Med Ctr,187,841,1005,4291,224,841,856,4196,149,0.174
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Asante Three Rivers Med Ctr,124,841,2716,4239,125,843,912,4233,1804,1.978
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Columbia Mem Hosp,33,259,284,303,36,271,283,290,1,0.004
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Coquille Valley Hosp,19,580,2473,3463,13,1222,1781,4105,692,0.389
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Curry Gen Hosp,31,339,1953,2625,36,321,340,2487,1613,4.744
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Good Samaritan Regional Med Ctr,98,511,2753,3408,105,501,1852,3161,901,0.487
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Good Shepherd Med Ctr,14,486,513,804,,,,,,
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Grande Ronde Hosp,49,671,3745,4066,63,644,3745,3906,0,0
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Kaiser Sunnyside Med Ctr,1029,485,493,493,899,410,485,485,8,0.016
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Kaiser Westside Med Ctr,541,485,493,493,626,410,485,485,8,0.016
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Legacy Emanuel Med Ctr,55,545,1337,2837,68,486,1308,2577,29,0.022
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Legacy Good Samaritan Med Ctr,83,502,2357,3693,70,486,2318,3208,39,0.017
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Legacy Meridian Park Med Ctr,73,486,1314,2933,86,359,586,2343,728,1.242
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Legacy Mount Hood Med Ctr,40,364,569,1617,21,405,486,586,83,0.171
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Legacy Silverton Med Ctr,59,704,825,1786,56,680,744,1786,81,0.109
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,McKenzie-Willamette Med Ctr,98,1324,1769,2627,108,1405,1803,2665,-34,-0.019
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Mercy Med Ctr,163,1286,2621,3439,147,1232,2534,3160,87,0.034
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Mid-Columbia Med Ctr,10,807,858,3721,21,802,807,3721,51,0.063
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,OHSU Hosp,342,696,1645,1884,326,582,1474,1919,171,0.116
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,405,656,986,3433,406,604,656,3860,330,0.503
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Providence Hood River Mem Hosp,27,174,323,2525,23,168,255,312,68,0.267
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Providence Medford Med Ctr,135,476,730,2413,164,81,627,2068,103,0.164
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Providence Milwaukie Hosp,75,50,293,371,55,278,293,483,0,0
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Providence Newberg Med Ctr,154,292,294,1121,180,293,345,1110,-51,-0.148
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Providence Portland Med Ctr,421,293,1034,1189,407,293,1022,1189,12,0.012
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Providence Seaside Hosp,23,123,123,475,,,,,,
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Providence St Vincent Med Ctr,796,256,371,1129,920,217,352,1189,19,0.054
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Providence Willamette Falls Med Ctr,121,293,714,1023,139,293,315,984,399,1.267
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Salem Health Salem Hosp,55,505,1703,3203,52,454,1303,1725,400,0.307
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Samaritan Albany Gen Hosp,40,480,511,2119,46,486,501,1582,10,0.02
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Samaritan Lebanon Comm Hosp,45,496,801,2947,50,486,486,3008,315,0.648
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Samaritan North Lincoln Hosp,27,496,1421,3166,29,486,2891,3040,-1470,-0.508
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Samaritan Pacific Comm Hosp,11,461,496,496,13,453,476,486,20,0.042
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Sky Lakes Med Ctr,73,945,945,2589,95,867,4772,5976,-3827,-0.802
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,St Alphonsus Med Ctr-Baker City,13,656,701,712,11,656,701,701,0,0
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,St Alphonsus Med Ctr-Ontario,14,735,3810,4034,,,,,,
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,St Anthony Hospital,40,574,613,3506,27,546,546,574,67,0.123
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,St Charles Med Ctr-Bend,96,747,885,986,72,679,878,998,7,0.008
Diagnostic Imaging and Testing,Cardiovascular: Echo,1,Statewide,16114,1038,1452,1794,15081,984,1362,1694,90,0.066
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Adventist Med Ctr,289,940,1344,1535,161,855,1236,1494,108,0.087
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Adventist Tillamook Reg Med Ctr,29,1454,1660,1660,37,1143,1454,1660,206,0.142
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Asante Ashland Comm Hosp,44,950,1675,1844,55,472,1573,1732,102,0.065
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Asante Rogue Valley Med Ctr,757,1590,1965,2052,745,1573,1657,2002,308,0.186
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Asante Three Rivers Med Ctr,293,1390,1772,1858,259,1573,1671,1756,101,0.06
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Blue Mountain Hosp,21,1344,1373,1373,20,1373,1373,1387,0,0
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Columbia Mem Hosp,136,1040,1111,1141,130,991,1057,1248,54,0.051
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Coquille Valley Hosp,37,1604,1702,1720,25,956,1606,1720,96,0.06
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Curry Gen Hosp,65,1621,1695,1711,67,1621,1621,1711,74,0.046
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Good Samaritan Regional Med Ctr,362,1321,1405,1686,383,1247,1351,1605,54,0.04
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Good Shepherd Med Ctr,19,1738,2109,2236,24,1952,1952,2109,157,0.08
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Grande Ronde Hosp,104,1439,1498,1498,92,1383,1439,1439,59,0.041
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Harney District Hosp,37,1114,1420,1524,54,1305,1378,1438,42,0.03
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Kaiser Sunnyside Med Ctr,367,772,1599,2566,348,796,979,1610,620,0.633
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Lake District Hosp,15,1576,1576,1655,17,1515,1576,1591,0,0
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Legacy Emanuel Med Ctr,312,986,1089,1495,303,986,1318,1482,-229,-0.174
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Legacy Good Samaritan Med Ctr,413,713,1034,1495,317,191,986,1391,48,0.049
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Legacy Meridian Park Med Ctr,310,971,1143,1495,261,967,1192,1391,-49,-0.041
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Legacy Mount Hood Med Ctr,129,641,1019,1495,76,682,986,1362,33,0.033
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Legacy Silverton Med Ctr,77,1380,1526,2069,67,1080,1476,1602,50,0.034
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,McKenzie-Willamette Med Ctr,133,1324,2225,3496,132,1819,2301,3291,-76,-0.033
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Mercy Med Ctr,382,1513,1966,2286,367,1305,1706,2175,260,0.152
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Mid-Columbia Med Ctr,109,1282,1487,1915,104,1282,1347,2219,140,0.104
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,OHSU Hosp,3880,1351,1452,1926,3499,1256,1351,1844,101,0.075
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,PeaceHealth Cottage Grove Comm Hosp,32,1993,2187,2222,30,2005,2121,2228,66,0.031
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,PeaceHealth Peace Harbor Med Ctr,33,2187,2187,2216,26,2121,2222,2228,-35,-0.016
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,1321,1369,1627,1804,1323,1537,1684,1700,-57,-0.034
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Providence Hood River Mem Hosp,104,1329,1525,1643,99,1290,1416,1581,109,0.077
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Providence Medford Med Ctr,224,272,1317,1433,247,147,1276,1423,41,0.032
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Providence Milwaukie Hosp,159,672,1398,1482,139,478,1398,1473,0,0
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Providence Newberg Med Ctr,336,794,1467,1681,224,958,1473,1569,-6,-0.004
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Providence Portland Med Ctr,1168,228,1382,1473,1156,190,1298,1473,84,0.065
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Providence Seaside Hosp,82,147,994,1719,75,147,1661,1678,-667,-0.402
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Providence St Vincent Med Ctr,1768,250,1382,1498,1873,190,1298,1473,84,0.065
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Providence Willamette Falls Med Ctr,305,1048,1398,1482,308,384,1298,1487,100,0.077
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Salem Health Salem Hosp,309,865,1296,1719,353,247,1008,1661,288,0.286
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Salem Health West Valley Hosp,15,1556,1611,1661,10,857,1556,1556,55,0.035
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Samaritan Albany Gen Hosp,108,1306,1363,1405,98,1247,1310,1351,53,0.04
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Samaritan Lebanon Comm Hosp,81,1300,1363,1363,75,1220,1310,1310,53,0.04
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Samaritan North Lincoln Hosp,34,560,1349,1363,29,1283,1310,1310,39,0.03
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Samaritan Pacific Comm Hosp,64,1268,1363,1363,43,952,1283,1310,80,0.062
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Santiam Hosp,63,1382,1478,1528,49,1341,1499,1499,-21,-0.014
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Sky Lakes Med Ctr,202,2030,2125,2701,180,2090,2125,2478,0,0
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Southern Coos Hosp and Hlth Ctr,15,1555,1625,1660,,,,,,
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,St Alphonsus Med Ctr-Ontario,14,1786,1786,1786,18,1780,1827,2320,-41,-0.022
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,St Anthony Hospital,95,1863,2213,2324,78,1774,2107,2213,106,0.05
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,St Charles Med Ctr-Bend,953,819,931,1405,792,787,984,1229,-53,-0.054
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,St Charles Med Ctr-Madras,15,663,882,941,17,738,848,886,34,0.04
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,St Charles Med Ctr-Prineville,45,737,819,882,50,669,848,886,-29,-0.034
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,St Charles Med Ctr-Redmond,134,737,900,972,106,669,866,925,34,0.039
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Tuality Comm Hosp,29,1124,1205,1271,45,1007,1184,1306,21,0.018
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Wallowa Mem Hosp,32,1588,1819,1838,29,1697,1732,1819,87,0.05
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Willamette Valley Med Ctr,43,1422,1446,1611,42,1323,1323,1655,123,0.093
Diagnostic Imaging and Testing,Cardiovascular: MCT,1,Statewide,5869,323,483,1040,6177,292,458,989,25,0.055
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Adventist Med Ctr,39,304,439,1050,26,264,329,371,110,0.334
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Adventist Tillamook Reg Med Ctr,27,633,723,1004,41,1015,1224,1411,-501,-0.409
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Asante Ashland Comm Hosp,50,1013,1396,1478,63,970,1018,1408,378,0.371
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Asante Rogue Valley Med Ctr,370,323,424,696,398,284,369,584,55,0.149
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Asante Three Rivers Med Ctr,180,306,401,696,204,372,393,1282,8,0.02
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Blue Mountain Hosp,12,1037,1257,1490,18,1004,1026,1037,231,0.225
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Columbia Mem Hosp,53,864,1194,1275,45,589,629,636,565,0.898
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Curry Gen Hosp,34,195,279,594,24,201,524,538,-245,-0.468
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Good Samaritan Regional Med Ctr,176,445,449,713,239,428,687,722,-238,-0.346
