Service category,Procedure,Statewide indicator,Hospital,Number of discharges 2018,25th percentile 2018,Median 2018,"75th percentile, 2018"
Diagnostic Imaging and Testing,Bone study,0,Providence Seaside Hosp,31,67,403,673
Diagnostic Imaging and Testing,Bone study,0,Providence St Vincent Med Ctr,966,58,113,208
Diagnostic Imaging and Testing,Bone study,0,Providence Willamette Falls Med Ctr,164,58,92,208
Diagnostic Imaging and Testing,Bone study,0,Salem Health Salem Hosp,128,173,173,305
Diagnostic Imaging and Testing,Bone study,0,Salem Health West Valley Hosp,34,402,452,483
Diagnostic Imaging and Testing,Bone study,0,Samaritan Albany Gen Hosp,121,400,470,764
Diagnostic Imaging and Testing,Bone study,0,Samaritan Lebanon Comm Hosp,66,456,456,801
Diagnostic Imaging and Testing,Bone study,0,Samaritan North Lincoln Hosp,22,442,456,595
Diagnostic Imaging and Testing,Bone study,0,Samaritan Pacific Comm Hosp,37,446,456,456
Diagnostic Imaging and Testing,Bone study,0,Santiam Hosp,29,81,473,737
Diagnostic Imaging and Testing,Bone study,0,Shriners Hosp for Children-Portland,75,43,69,178
Diagnostic Imaging and Testing,Bone study,0,Sky Lakes Med Ctr,121,353,353,423
Diagnostic Imaging and Testing,Bone study,0,St Alphonsus Med Ctr-Baker City,16,364,399,765
Diagnostic Imaging and Testing,Bone study,0,St Anthony Hospital,45,482,506,522
Diagnostic Imaging and Testing,Bone study,0,St Charles Med Ctr-Prineville,33,127,379,452
Diagnostic Imaging and Testing,Bone study,0,Tuality Comm Hosp,86,264,306,386
Diagnostic Imaging and Testing,Bone study,0,Wallowa Mem Hosp,22,456,466,470
Diagnostic Imaging and Testing,Bone study,0,Willamette Valley Med Ctr,58,291,340,411
Diagnostic Imaging and Testing,Cardiovascular: ECG,1,Statewide,16400,140,191,298
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Adventist Med Ctr,196,135,213,1340
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Adventist Tillamook Reg Med Ctr,49,143,163,165
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Asante Ashland Comm Hosp,79,192,213,280
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Asante Rogue Valley Med Ctr,220,213,230,459
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Asante Three Rivers Med Ctr,142,195,213,255
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Blue Mountain Hosp,64,218,219,464
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Columbia Mem Hosp,254,285,298,304
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Coquille Valley Hosp,43,165,177,178
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Curry Gen Hosp,203,134,142,156
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Good Samaritan Regional Med Ctr,490,197,210,263
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Good Shepherd Med Ctr,109,187,496,3692
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Grande Ronde Hosp,70,213,501,889
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Harney District Hosp,78,148,157,162
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Kaiser Sunnyside Med Ctr,346,48,1076,5726
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Kaiser Westside Med Ctr,611,42,48,48
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Lake District Hosp,28,218,219,230
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Legacy Emanuel Med Ctr,389,164,231,8264
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Legacy Good Samaritan Med Ctr,589,172,240,7111
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Legacy Meridian Park Med Ctr,693,171,202,4764
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Legacy Mount Hood Med Ctr,360,172,206,8429
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Legacy Silverton Med Ctr,153,210,235,282
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Lower Umpqua Hosp,32,587,594,617
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,McKenzie-Willamette Med Ctr,269,230,1548,11186
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Mercy Med Ctr,315,203,244,275
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Mid-Columbia Med Ctr,185,52,73,81
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,OHSU Hosp,3503,147,164,508
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,PeaceHealth Peace Harbor Med Ctr,11,241,265,10309
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,801,165,222,258
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Pioneer Mem Hosp-Heppner,18,168,175,176
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Providence Hood River Mem Hosp,78,19,127,128
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Providence Medford Med Ctr,157,19,147,171
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Providence Milwaukie Hosp,230,19,168,221
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Providence Newberg Med Ctr,237,19,193,204
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Providence Portland Med Ctr,853,19,184,195
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Providence Seaside Hosp,103,19,39,39
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Providence St Vincent Med Ctr,1460,19,168,195
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Providence Willamette Falls Med Ctr,366,19,191,221
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Salem Health Salem Hosp,903,79,149,198
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Salem Health West Valley Hosp,123,138,142,152
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Samaritan Albany Gen Hosp,141,196,204,210
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Samaritan Lebanon Comm Hosp,107,203,204,429
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Samaritan North Lincoln Hosp,30,200,204,461
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Samaritan Pacific Comm Hosp,97,200,204,429
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Santiam Hosp,123,148,160,165
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Sky Lakes Med Ctr,444,254,270,330
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Southern Coos Hosp and Hlth Ctr,19,152,163,163
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,St Alphonsus Med Ctr-Ontario,42,199,255,314
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,St Anthony Hospital,107,93,226,511
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,St Charles Med Ctr-Bend,114,224,2916,6802
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,St Charles Med Ctr-Prineville,10,24,228,2182
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,St Charles Med Ctr-Redmond,72,345,3672,4653
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Tuality Comm Hosp,114,170,218,348
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Willamette Valley Med Ctr,146,166,220,6753
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,1,Statewide,5777,485,639,1714
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Adventist Med Ctr,102,531,940,2146
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Adventist Tillamook Reg Med Ctr,24,609,695,1914
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Asante Rogue Valley Med Ctr,187,841,1005,4291
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Asante Three Rivers Med Ctr,124,841,2716,4239
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Columbia Mem Hosp,33,259,284,303
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Coquille Valley Hosp,19,580,2473,3463
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Curry Gen Hosp,31,339,1953,2625
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Good Samaritan Regional Med Ctr,98,511,2753,3408
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Good Shepherd Med Ctr,14,486,513,804
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Grande Ronde Hosp,49,671,3745,4066
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Kaiser Sunnyside Med Ctr,1029,485,493,493
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Kaiser Westside Med Ctr,541,485,493,493
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Legacy Emanuel Med Ctr,55,545,1337,2837
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Legacy Good Samaritan Med Ctr,83,502,2357,3693
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Legacy Meridian Park Med Ctr,73,486,1314,2933
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Legacy Mount Hood Med Ctr,40,364,569,1617
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Legacy Silverton Med Ctr,59,704,825,1786
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,McKenzie-Willamette Med Ctr,98,1324,1769,2627
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Mercy Med Ctr,163,1286,2621,3439
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Mid-Columbia Med Ctr,10,807,858,3721
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,OHSU Hosp,342,696,1645,1884
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,405,656,986,3433
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Providence Hood River Mem Hosp,27,174,323,2525
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Providence Medford Med Ctr,135,476,730,2413
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Providence Milwaukie Hosp,75,50,293,371
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Providence Newberg Med Ctr,154,292,294,1121
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Providence Portland Med Ctr,421,293,1034,1189
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Providence Seaside Hosp,23,123,123,475
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Providence St Vincent Med Ctr,796,256,371,1129
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Providence Willamette Falls Med Ctr,121,293,714,1023
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Salem Health Salem Hosp,55,505,1703,3203
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Samaritan Albany Gen Hosp,40,480,511,2119
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Samaritan Lebanon Comm Hosp,45,496,801,2947
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Samaritan North Lincoln Hosp,27,496,1421,3166
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Samaritan Pacific Comm Hosp,11,461,496,496
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,Sky Lakes Med Ctr,73,945,945,2589
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,St Alphonsus Med Ctr-Baker City,13,656,701,712
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,St Alphonsus Med Ctr-Ontario,14,735,3810,4034
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,St Anthony Hospital,40,574,613,3506
Diagnostic Imaging and Testing,Cardiovascular: ECG stress test,0,St Charles Med Ctr-Bend,96,747,885,986
Diagnostic Imaging and Testing,Cardiovascular: Echo,1,Statewide,16114,1038,1452,1794
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Adventist Med Ctr,289,940,1344,1535
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Adventist Tillamook Reg Med Ctr,29,1454,1660,1660
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Asante Ashland Comm Hosp,44,950,1675,1844
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Asante Rogue Valley Med Ctr,757,1590,1965,2052
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Asante Three Rivers Med Ctr,293,1390,1772,1858
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Blue Mountain Hosp,21,1344,1373,1373
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Columbia Mem Hosp,136,1040,1111,1141
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Coquille Valley Hosp,37,1604,1702,1720
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Curry Gen Hosp,65,1621,1695,1711
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Good Samaritan Regional Med Ctr,362,1321,1405,1686
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Good Shepherd Med Ctr,19,1738,2109,2236
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Grande Ronde Hosp,104,1439,1498,1498
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Harney District Hosp,37,1114,1420,1524
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Kaiser Sunnyside Med Ctr,367,772,1599,2566
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Lake District Hosp,15,1576,1576,1655
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Legacy Emanuel Med Ctr,312,986,1089,1495
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Legacy Good Samaritan Med Ctr,413,713,1034,1495
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Legacy Meridian Park Med Ctr,310,971,1143,1495
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Legacy Mount Hood Med Ctr,129,641,1019,1495
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Legacy Silverton Med Ctr,77,1380,1526,2069
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,McKenzie-Willamette Med Ctr,133,1324,2225,3496
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Mercy Med Ctr,382,1513,1966,2286
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Mid-Columbia Med Ctr,109,1282,1487,1915
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,OHSU Hosp,3880,1351,1452,1926
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,PeaceHealth Cottage Grove Comm Hosp,32,1993,2187,2222
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,PeaceHealth Peace Harbor Med Ctr,33,2187,2187,2216
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,1321,1369,1627,1804
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Providence Hood River Mem Hosp,104,1329,1525,1643
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Providence Medford Med Ctr,224,272,1317,1433
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Providence Milwaukie Hosp,159,672,1398,1482
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Providence Newberg Med Ctr,336,794,1467,1681
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Providence Portland Med Ctr,1168,228,1382,1473
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Providence Seaside Hosp,82,147,994,1719
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Providence St Vincent Med Ctr,1768,250,1382,1498
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Providence Willamette Falls Med Ctr,305,1048,1398,1482
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Salem Health Salem Hosp,309,865,1296,1719
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Salem Health West Valley Hosp,15,1556,1611,1661
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Samaritan Albany Gen Hosp,108,1306,1363,1405
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Samaritan Lebanon Comm Hosp,81,1300,1363,1363
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Samaritan North Lincoln Hosp,34,560,1349,1363
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Samaritan Pacific Comm Hosp,64,1268,1363,1363
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Santiam Hosp,63,1382,1478,1528
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Sky Lakes Med Ctr,202,2030,2125,2701
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Southern Coos Hosp and Hlth Ctr,15,1555,1625,1660
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,St Alphonsus Med Ctr-Ontario,14,1786,1786,1786
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,St Anthony Hospital,95,1863,2213,2324
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,St Charles Med Ctr-Bend,953,819,931,1405
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,St Charles Med Ctr-Madras,15,663,882,941
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,St Charles Med Ctr-Prineville,45,737,819,882
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,St Charles Med Ctr-Redmond,134,737,900,972
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Tuality Comm Hosp,29,1124,1205,1271
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Wallowa Mem Hosp,32,1588,1819,1838
Diagnostic Imaging and Testing,Cardiovascular: Echo,0,Willamette Valley Med Ctr,43,1422,1446,1611
Diagnostic Imaging and Testing,Cardiovascular: MCT,1,Statewide,5869,323,483,1040
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Adventist Med Ctr,39,304,439,1050
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Adventist Tillamook Reg Med Ctr,27,633,723,1004
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Asante Ashland Comm Hosp,50,1013,1396,1478
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Asante Rogue Valley Med Ctr,370,323,424,696
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Asante Three Rivers Med Ctr,180,306,401,696
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Blue Mountain Hosp,12,1037,1257,1490
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Columbia Mem Hosp,53,864,1194,1275
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Curry Gen Hosp,34,195,279,594
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Good Samaritan Regional Med Ctr,176,445,449,713
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Good Shepherd Med Ctr,63,490,517,517
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Grande Ronde Hosp,27,439,457,462
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Harney District Hosp,15,336,368,500
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Legacy Emanuel Med Ctr,166,214,683,1040
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Legacy Good Samaritan Med Ctr,182,295,895,1233
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Legacy Meridian Park Med Ctr,154,323,965,1235
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Legacy Mount Hood Med Ctr,103,235,660,1040
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Legacy Silverton Med Ctr,83,911,1709,1932
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,McKenzie-Willamette Med Ctr,100,546,2277,2640
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Mercy Med Ctr,218,662,990,1228
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Mid-Columbia Med Ctr,11,211,484,962
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,OHSU Hosp,537,411,598,689
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,PeaceHealth Peace Harbor Med Ctr,39,1595,1617,1755
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,588,310,416,1577
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Providence Hood River Mem Hosp,41,371,543,929
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Providence Medford Med Ctr,123,72,413,572
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Providence Milwaukie Hosp,118,226,376,1048
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Providence Newberg Med Ctr,303,374,377,1256
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Providence Portland Med Ctr,302,99,357,669
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Providence Seaside Hosp,35,203,439,1320
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Providence St Vincent Med Ctr,799,226,357,1101
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Providence Willamette Falls Med Ctr,210,179,376,512
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Salem Health Salem Hosp,79,371,499,514
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Salem Health West Valley Hosp,23,358,514,958
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Samaritan Albany Gen Hosp,77,438,438,713
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Samaritan Lebanon Comm Hosp,88,685,736,736
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Samaritan North Lincoln Hosp,10,685,686,706
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Samaritan Pacific Comm Hosp,64,685,736,736
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Santiam Hosp,41,268,272,299
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Sky Lakes Med Ctr,144,444,559,576
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Southern Coos Hosp and Hlth Ctr,18,493,509,532
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,St Alphonsus Med Ctr-Ontario,13,651,851,860
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,St Anthony Hospital,56,596,1130,1130
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Wallowa Mem Hosp,25,231,270,283
Diagnostic Imaging and Testing,Cardiovascular: MCT,0,Willamette Valley Med Ctr,53,312,336,530
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,1,Statewide,11845,776,1244,2002
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Adventist Med Ctr,141,567,760,967
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Adventist Tillamook Reg Med Ctr,77,1875,2118,2162
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Asante Ashland Comm Hosp,57,1526,3288,3485
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Asante Rogue Valley Med Ctr,228,904,1020,1538
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Asante Three Rivers Med Ctr,173,920,965,1564
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Blue Mountain Hosp,23,3831,4827,5908
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Columbia Mem Hosp,44,1993,2570,2940
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Curry Gen Hosp,28,3395,3867,4627
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Good Samaritan Regional Med Ctr,212,1071,2082,3347
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Good Shepherd Med Ctr,48,2956,3175,3411
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Grande Ronde Hosp,116,2837,3201,3711
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Harney District Hosp,31,2730,2893,3145
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Kaiser Sunnyside Med Ctr,1867,1085,1244,1428
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Kaiser Westside Med Ctr,1573,1085,1244,1428
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Lake District Hosp,14,1022,2749,4253
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Legacy Emanuel Med Ctr,146,776,1277,1754
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Legacy Good Samaritan Med Ctr,351,985,1538,2035
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Legacy Meridian Park Med Ctr,326,979,1283,1754
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Legacy Mount Hood Med Ctr,185,991,1472,1900
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Legacy Silverton Med Ctr,110,598,664,782
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,McKenzie-Willamette Med Ctr,93,400,552,1170
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Mercy Med Ctr,298,1262,2660,3663
Diagnostic Imaging and Testing,CT w contrast: Abdomen GI,0,Mid-Columbia Med Ctr,84,1707,3870,4126
